timestamp,interval_idx,total_packets_ul,total_packets_dl,total_bytes_ul,total_bytes_dl,total_active_users,total_active_flows,total_throughput_ul_mbps,total_throughput_dl_mbps,eMBB_total_packets_ul,eMBB_total_packets_dl,eMBB_total_bytes_ul,eMBB_total_bytes_dl,eMBB_throughput_ul_mbps,eMBB_throughput_dl_mbps,eMBB_qos_5qi
19.000,19,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
20.000,20,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
21.000,21,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
22.000,22,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
23.000,23,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
24.000,24,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
25.000,25,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
26.000,26,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
27.000,27,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
28.000,28,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
29.000,29,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
30.000,30,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
31.000,31,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
32.000,32,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
33.000,33,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
34.000,34,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
35.000,35,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
36.000,36,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
37.000,37,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
38.000,38,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
39.000,39,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
40.000,40,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
41.000,41,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
42.000,42,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
43.000,43,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
44.000,44,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
45.000,45,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
46.000,46,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
47.000,47,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
48.000,48,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
49.000,49,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
50.000,50,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
51.000,51,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
52.000,52,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
53.000,53,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
54.000,54,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
55.000,55,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
56.000,56,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
57.000,57,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
58.000,58,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
59.000,59,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
